,index,RED,WHITE,TOTAL,PERCENT,YEAR
31,7,122342.30000000003,118138.79999999997,240481.1,6.1360584098648845,2019
32,8,159394.19999999995,53035.49999999999,212429.69999999995,5.42030557573994,2019
33,9,37848.2,37915.100000000006,75763.3,1.9331582986110603,2019
34,1,48194.700000000004,33693.09999999999,81887.79999999999,1.9125137720339107,2018
35,10,21599.9,2373.9,23973.800000000003,0.5599151847770558,2018
36,11,595747.3,254939.50000000003,850686.8,19.868041645855154,2018
37,12,172637.9,182284.2,354922.1,8.289310547471015,2018
38,13,663425.3,632456.5999999997,1295881.9,30.265704789718022,2018
39,14,151272.1,151915.39999999997,303187.5,7.081033673618433,2018
40,15,257.59999999999997,58.79999999999999,316.4,0.007389615516249422,2018
41,16,3541.1,1033.1,4574.2,0.10683179296595484,2018
42,17,56267.700000000004,131357.4,187625.1,4.382039665606352,2018
43,2,28546.800000000003,17879.000000000004,46425.8,1.0842882807657792,2018
44,3,163575.20000000004,112401.69999999998,275976.9,6.44552206816187,2018
45,4,137335.19999999998,47237.8,184573.0,4.310756968017398,2018
46,5,11459.8,12510.1,23969.9,0.5598240991243586,2018
47,6,23510.699999999993,10755.0,34265.7,0.8002855511856758,2018
48,7,149791.59999999998,148883.0,298674.6,6.975633560270511,2018
49,8,186223.80000000005,59288.600000000006,245512.40000000005,5.7340146664716665,2018
50,9,34542.8,34687.49999999999,69230.29999999999,1.616894118440589,2018
51,1,41153.30000000001,29598.80000000001,70752.10000000002,1.7627722763890086,2017
52,10,20015.5,2102.7000000000003,22118.2,0.5510698588964477,2017
53,11,521533.2999999999,221826.90000000002,743360.2,18.52064817766523,2017
54,12,179738.7,174491.90000000002,354230.60000000003,8.825573815175016,2017
55,13,647118.9,664694.1000000001,1311813.0,32.68351876773543,2017
56,14,141704.90000000002,170666.19999999998,312371.1,7.782654013451734,2017
57,15,888.3999999999999,78.80000000000001,967.1999999999998,0.024097565241504467,2017
58,16,5033.799999999999,1815.3000000000002,6849.099999999999,0.17064374906491755,2017
59,17,48833.99999999999,109537.49999999999,158371.49999999997,3.9457894475237025,2017
60,2,29574.9,18281.700000000004,47856.600000000006,1.192336167014664,2017
61,3,124787.49999999999,81309.69999999997,206097.19999999995,5.134864271186305,2017
62,4,106045.9,36367.2,142413.09999999998,3.5481895869467532,2017
63,5,8477.8,9458.500000000002,17936.300000000003,0.4468787835413531,2017
64,6,19267.8,9180.500000000002,28448.300000000003,0.7087828424936846,2017
65,7,141314.2,140775.80000000002,282090.0,7.028207381075265,2017
66,8,174687.2999999999,58540.80000000002,233228.09999999992,5.81082439609401,2017
67,9,38083.299999999996,36697.600000000006,74780.9,1.863148900504985,2017
68,1,40778.799999999996,37171.900000000016,77950.70000000001,1.9337103261461561,2016
69,10,18917.800000000003,2548.7,21466.500000000004,0.5325159711999566,2016
70,11,550624.1,251497.70000000007,802121.8,19.89810492384214,2016
71,12,190164.00000000003,182783.00000000003,372947.00000000006,9.251635520979677,2016
72,13,658722.2000000001,606925.5,1265647.7000000002,31.39671647275948,2016
73,14,136502.0,146832.80000000002,283334.80000000005,7.028640262583349,2016
74,15,363.70000000000005,61.5,425.20000000000005,0.010547867186277295,2016
75,16,3495.1000000000004,1343.8,4838.900000000001,0.120037804627651,2016
76,17,48155.7,120436.00000000001,168591.7,4.182226858675225,2016
